縣市別,行業別,媒介物,災害類型,發生日期,死,傷
,,,,,,
台南市,製造業,施工架,墜落、滾落,105/1/2,1,0
宜蘭縣,製造業,輸送帶,被夾、被捲,105/1/3,1,0
屏東縣,營造業,開口,墜落、滾落,105/1/4,1,0
新北市,營造業,施工架,墜落、滾落,105/1/7,1,0
桃園市,其他服務業,卡車,被夾、被捲,105/1/7,1,0
屏東縣,製造業,堆高機,被夾、被捲,105/1/8,1,0
高雄市,營造業,屋頂,墜落、滾落,105/1/9,1,0
桃園市,運輸及倉儲業,已包裝貨物,物體飛落,105/1/11,1,0
南科,製造業,水,溺斃,105/1/13,1,0
新竹市,醫療保健及社會工作服務業,其他,其他,105/1/13,0,3
桃園市,製造業,堆高機,被撞,105/1/14,1,0
新北市,營造業,梯子等,墜落、滾落,105/1/18,1,0
新北市,營造業,屋頂、屋架、樑,墜落、滾落,105/1/18,1,0
苗栗縣,製造業,貨車烤箱,物體倒塌、崩塌,105/1/19,1,0
高雄市,營造業,梯子等,墜落、滾落,105/1/20,1,0
彰化縣,製造業,傳動軸,被夾、被捲,105/1/20,1,0
雲林縣,製造業,其他,被夾、被捲,105/1/21,1,0
彰化縣,營造業,施工架,墜落、滾落,105/1/21,1,0
新北市,營造業,施工架,墜落、滾落,105/1/24,1,0
台北市,支援服務業,開口部分,墜落、滾落,105/1/25,1,0
高雄市,製造業,桁架,墜落、滾落,105/1/25,1,0
新北市,營造業,有害物,與有害物等之接觸,105/1/27,1,0
高雄市,製造業,物件,物體飛落,105/1/27,1,0
屏東縣,製造業,有害物,與有害物等之接觸,105/1/28,1,2
苗栗縣,製造業,傳動軸,被夾、被捲,105/1/30,1,0
台中市,製造業,有害物,爆炸,105/2/1,1,1
高雄市,製造業,堆高機,物體倒塌、崩塌,105/2/2,1,0
台南市,營造業,動力鏟類設備,被撞,105/2/4,1,0
高雄市,製造業,易燃液體,爆炸,105/2/5,1,0
屏東縣,不動產業,施工架,墜落、滾落,105/2/6,1,0
桃園市,支援服務業,起重機,墜落、滾落,105/2/16,1,0
桃園市,製造業,其他(袋裝塑膠粒),物體倒塌、崩塌,105/2/18,1,0
高雄市,製造業,H型鋼梁,物體飛落,105/2/19,1,0
花蓮縣,營造業,施工架,墜落、滾落,105/2/22,1,0
台南市,營造業,屋頂、屋架、樑,墜落、滾落,105/2/23,1,0
雲林縣,用水供應及污染整治業,卡車,被夾、被捲,105/2/23,1,0
高雄市,製造業,已包裝貨物,物體飛落,105/2/24,1,0
屏東縣,營造業,開口部分,墜落、滾落,105/2/24,1,0
基隆市,教育服務業,其他(鐵捲門),被夾、被捲,105/2/25,1,0
台中市,營造業,營建物,墜落、滾落,105/2/25,0,3
高雄市,電力及燃氣供應業,電桿變壓器,感電,105/2/26,1,0
桃園市,製造業,輸送帶,被夾、被捲,105/2/26,1,0
台中市,營造業,模板支撐,物體倒塌、崩塌,105/2/29,0,5
新北市,營造業,開口部分,墜落、滾落,105/3/2,1,0
新北市,其他服務業,平台,墜落、滾落,105/3/4,1,0
雲林縣,不動產業,屋頂、屋架、樑,墜落、滾落,105/3/4,1,0
台中市,製造業,其他,其他,105/3/7,1,0
金門縣,營造業,施工架,墜落、滾落,105/3/7,1,0
新竹縣,製造業,其他,墜落、滾落,105/3/7,1,0
新北市,營造業,開口部分,墜落、滾落,105/3/8,1,0
宜蘭縣,製造業,卡車,被撞,105/3/8,1,0
南投縣,製造業,屋頂、屋架、樑,墜落、滾落,105/3/8,1,0
南投縣,製造業,水,溺斃,105/3/13,1,0
台中市,營造業,屋頂、屋架、樑,墜落、滾落,105/3/14,1,0
新竹縣,製造業,連軸器,與高溫、低溫之接觸,105/3/15,0,3
新北市,製造業,其他,被夾、被捲,105/3/16,1,0
新北市,營造業,梯子等,墜落、滾落,105/3/20,1,0
桃園市,營造業,移動式起重機,物體飛落,105/3/21,1,0
桃園市,醫療保健及社會工作服務業,車輛,其他,105/3/22,1,0
高雄市,營造業,營建物,墜落、滾落,105/3/22,1,0
雲林縣,製造業,輸送帶,被夾、被捲,105/3/23,1,0
桃園市,用水供應及污染整治業,土砂岩石,物體倒塌、崩塌,105/3/24,1,0
新北市,營造業,貨車,墜落、滾落,105/3/25,1,0
桃園市,製造業,其他,火災,105/3/27,0,3
苗栗縣,營造業,梯子等,墜落、滾落,105/3/28,1,0
台中市,運輸及倉儲業,移動式起重機,墜落、滾落,105/3/30,1,0
台北市,營造業,開口部分,墜落、滾落,105/4/1,1,0
彰化縣,營造業,屋頂、屋架、樑,墜落、滾落,105/4/2,1,0
彰化縣,營造業,開口,墜落、滾落,105/4/2,1,0
雲林縣,營造業,金屬材料,物體飛落,105/4/3,1,0
基隆市,營造業,開口部分,墜落、滾落,105/4/4,1,0
高雄市,製造業,鋼捲,被夾、被捲,105/4/4,1,0
桃園市,批發及零售業,支撐架,物體倒塌、崩塌,105/4/6,1,0
桃園市,營造業,開口部分,墜落、滾落,105/4/6,1,0
彰化縣,製造業,易燃液體,爆炸,105/4/6,1,0
桃園市,製造業,採光罩,墜落、滾落,105/4/7,1,0
台中市,營造業,施工架,墜落、滾落,105/4/7,1,0
台中市,營造業,其他電器設備,感電,105/4/7,1,0
高雄市,製造業,進料螺桿,被夾、被捲,105/4/10,1,0
高雄市,製造業,堆高機,被撞,105/4/11,1,0
台中市,營造業,施工架,墜落、滾落,105/4/13,1,0
台南市,營造業,屋頂、屋架樑,墜落、滾落,105/4/13,1,0
嘉義縣,製造業,已包裝貨物,物體倒塌、崩塌,105/4/14,1,0
新北市,營造業,其他(捲揚機),物體飛落,105/4/16,1,0
台中市,營造業,水,溺斃,105/4/18,1,0
新北市,製造業,梯子等,墜落、滾落,105/4/18,1,0
高雄市,營造業,屋頂、屋架、樑,墜落、滾落,105/4/18,1,0
台中市,製造業,粉碎機,被夾、被捲,105/4/19,1,0
新竹縣,製造業,梯子等,墜落、滾落,105/4/20,1,0
桃園市,營造業,合梯,墜落、滾落,105/4/20,1,0
南投縣,營造業,梯子等,墜落、滾落,105/4/20,1,0
雲林縣,製造業,動力鏟類設備,被夾、被捲,105/4/21,1,0
桃園市,製造業,上板架,物體飛落,105/4/25,1,0
台北市,營造業,施工架,墜落、滾落,105/4/25,1,0
宜蘭縣,其他服務業,堆高機,被撞,105/4/26,1,0
桃園市,製造業,混合及粉碎機,被夾、被捲,105/4/27,1,0
桃園市,營造業,營建物,物體倒塌、崩塌,105/4/27,1,0
雲林縣,營造業,a字梯,墜落、滾落,105/4/28,1,0
台中市,營造業,其他(混泥土泵送車延伸臂),物體飛落,105/4/28,1,0
桃園市,批發及零售業,起重機活塞,物體飛落,105/4/28,1,0
新北市,營造業,木材、竹材,物體飛落,105/4/29,1,0
台北市,支援服務業,無,跌倒,105/5/3,1,0
南投縣,營造業,其他(高空工作車),墜落、滾落,105/5/3,1,0
雲林縣,營造業,開口部分,墜落、滾落,105/5/4,1,0
中科,營造業,開口部分,墜落、滾落,105/5/4,1,0
台中市,營造業,開口部分,墜落、滾落,105/5/4,1,0
新北市,營造業,輸配電線路,感電,105/5/4,1,0
桃園市,營造業,開口部分,墜落、滾落,105/5/6,1,0
金門縣,營造業,工作台,溺斃,105/5/6,1,0
花蓮縣,營造業,輸配電線路,感電,105/5/7,1,0
台南市,製造業,升降機,墜落、滾落,105/5/9,1,0
新北市,批發及零售業,合梯,墜落、滾落,105/5/11,1,0
台中市,營造業,屋頂、屋架、樑,墜落、滾落,105/5/12,1,0
彰化縣,營造業,屋頂,墜落、滾落,105/5/12,1,0
